Area, Address, Rent, Beds, Baths, Available, Pets, Parking, Laundry, Utilities Included, Furnished, Description
Downtown,119 West Buffalo St: Offices,$3500,-2,1,April 1 2014,Call for details,off street as well as metered aprking,Call for details,N,N,Beautiful spacious unfurnised downtown office location 5 offices with conference room waiting room and bathroom 1470 sq.ft. handicap acceptable walking distances to Dewitt Mall The Commons and on the bus route wired for Internet and Phones
Airport / Northeast,101 Uptown Road: Apt.5 Apt.37 Apt.47,$1200,2,1.5,June 1 2014,Call for details,off-street parking,washer/dryer,partial,N,Unfurnished spacious townhouses washer/dryer dishwasher garbage disposal lots of closet space enclosed yard 1 1/2 baths carpet and tile balconies trash removal water/sewer hot water cooking gas and off-street parking included. tenant pays electric and heat(gas).sq.ft.1300
Cayuga Heights,201B Highgate Road: B,$1500,3,1,June 1 2014,no,garage & driveway,washer/dryer,N,N,Duplex Unfurnished 3 bedrooms 1 bathroom spacious private Cayuga Heights neighborhood close to Cornell yard garage dishwasher washer/dryer tenants pay all utilities(gas)
Cayuga Heights,2250 North Triphammer Road: G-6 (Cayuga Heights NY),$850,1,1,June 1 2014,No Pets,Call for details,coin-op,partial,Y,furnished 1 bedrooms livingroom/diningroom area balcony parking on bus route A/C tenant pays electric coin-op laundry water/sewer and gas are included.
Collegetown,210 Stewart Avenue: Apt.1A,$830,0,1,June 1 2014,no,street parking,none,partial,Y,Furnished studio hardwood/carpet floors Includes HEAT hot water water/sewer tenant pays electric no pets
Collegetown,408 University Avenue: Upstairs,$5000,8,2,June 1 2014,no,Call for details,yes,Y,Y,6-8 bedroom house furnished washer/dryer street parking front and back porchs yard private 2 bathrooms beautifully remolded eat-in kitchen dishwasher storagespacious  INCLUDES ALL UTILITIES
Collegetown,528 Stewart Avenue: #2,$5400,8,2,June 1 2014,no,paid parking,none,Y,Y,Furnished 8 bedrooms newly remodeled kitchen with dishwasher 2 full bathrooms livingroom INCLUDES ALL UTILITIES AND INTERNET paid parking available minutes to CU and everything
Downtown,104 North Aurora Street: #3,$1500,2,1,June 1 2014,no pets,street,coin-op,Y,Y,Great Commons location Secure Building Newly Remodeled Kitchen dishwasher furnished 2 bedrooms Huge living room high ceilings over looking The Commons hardwood flooring laundry on property INCLUDES ALL UTILITIES AND INTERNET!
Downtown,104 North Aurora Street: Suite A Offices 12,$350,-2,.5,June 1 2014,no pets,street,coin-op,Y,N,Newly carperted and painted on the Common's above Simone's Restaurant secure building Includes utilities with a shared 1/2 bathroom Office 1-$400.00-12X18 Office 2-$350.00-8X21 Office 3-$500.00-12X17
Downtown,110 North Aurora Street: Apt.5,$1200,2,1,June 1 2014,no,street,yes,partial,Y,ON THE COMMONS above Restaurant's Newly Remodeled kitchen/bathrooms Furnished 2 bedroom apt. spacious carpet exposed brick walls sky light coin-op laundry INCLUDES WATER/SEWERHEAT INTERNET tenant pays electric TRASH/RECYCLING on bus route and street parking
Downtown,313 Farm Street: Duplex,$3300,6,2,June 1 2014,no pets,Street Parking,washer/dryer,N,Y,Large Spacious furnished 6 bedrooms Newly remolded kitchen with dishwasher washer and dryer front and back porches 2 bathroom living room dining room street parking on bus route minutes to CU/IC and downtown tenants pay utilities
